BNS	54.24	0.08	0.15	Free Writing Prospectus - Filing Under Securities Act Rules 163/433 (fwp)	2021-01-13 11:53:00
FSD	14.795	0.085	0.58	Dolphin Seeks FSD NAV Returned to Shareholders—Submits 2021 Binding Proposal to Terminate Investment Agreements	2021-01-13 11:52:28
LKFN	58.96	-0.63	-1.06	Statement of Changes in Beneficial Ownership (4)	2021-01-13 11:52:15
BTCUSD	34669.48	606.71	1.78	Digital Asset Manager Arca Raises $10M	2021-01-13 11:51:04
REI	1.1185	-0.0315	-2.74	Statement of Changes in Beneficial Ownership (4)	2021-01-13 11:50:04
VXX	16.5486	-0.2014	-1.2	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 11:50:04
QNST	20.44	-0.645	-3.06	New CardRatings.com List Compares Credit Card Balance Transfer Opportunities	2021-01-13 11:50:00
LKFN	58.96	-0.63	-1.06	Statement of Changes in Beneficial Ownership (4)	2021-01-13 11:48:48
REI	1.1185	-0.0315	-2.74	Initial Statement of Beneficial Ownership (3)	2021-01-13 11:48:03
VSEC	41.17	-0.78	-1.86	Statement of Changes in Beneficial Ownership (4)	2021-01-13 11:46:52
BTCUSD	34669.48	606.71	1.78	Ex-Ripple CTO Can’t Remember Password to Access $240M in Bitcoin	2021-01-13 11:45:53
XRPUSD	0.3019	0.0091	3.11	Ex-Ripple CTO Can’t Remember Password to Access $240M in Bitcoin	2021-01-13 11:45:53
LKFN	58.96	-0.63	-1.06	Statement of Changes in Beneficial Ownership (4)	2021-01-13 11:45:07
VXX	16.5486	-0.2014	-1.2	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 11:44:10
APDN	9	-0.25	-2.7	Applied DNA Announces Closing of $15 Million Registered Direct Offering Priced At-the-Market Under Nasdaq Rules	2021-01-13 11:44:00
DRI	125.4542	-1.8758	-1.47	Initial Statement of Beneficial Ownership (3)	2021-01-13 11:43:45
HMI	13.7033	0.1733	1.28	Promaxo Raises $4.17M in Funding Round Led by Huami Corporation	2021-01-13 11:40:00
RTX	69.925	-1.595	-2.23	Raytheon UK part of team transforming the Royal Navy's technology, training and learning solutions	2021-01-13 11:40:00
CTSH	79.51	-0.13	-0.16	Cognizant Schedules Fourth Quarter 2020 Earnings Release and Conference Call	2021-01-13 11:36:00
GNPK.U	11.1	0.165	1.51	Genesis Park Acquisition Corp. Announces the Separate Trading of its Class A Ordinary Shares and Warrants	2021-01-13 11:35:00
RTX	69.925	-1.595	-2.23	Raytheon UK part of team transforming the Royal Navy's technology, training and learning solutions	2021-01-13 11:35:00
WSGF	0.024	0.0024	11.11	WSGF Vaycaychella Fintech App Could Fuel Post Vaccine Real Estate Market	2021-01-13 11:31:21
WFC-L	1425	-14.98	-1.04	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 11:30:37
WFC-O	25.3	0.08	0.32	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 11:30:37
WFC-N	25.595	0.115	0.45	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 11:30:37
WFC-X	25.9	0.1	0.39	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 11:30:37
WFC-Q	26.23	0.14	0.54	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 11:30:37
WFC-R	28.245	0.175	0.62	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 11:30:37
WFC-V	25	0	0	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 11:30:37
WFCNP	1.25	0	0	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 11:30:37
WFC-P	25.55	0.12	0.47	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 11:30:37
WFC-Y	26.16	0.19	0.73	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 11:30:37
WFC	33.714	-0.226	-0.67	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 11:30:37
WFC-W	25.43	0.09	0.36	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 11:30:37
WFC-T	25.02	0	0	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 11:30:37
VXX	16.5486	-0.2014	-1.2	Free Writing Prospectus - Filing Under Securities Act Rules 163/433 (fwp)	2021-01-13 11:30:36
VSEC	41.17	-0.78	-1.86	Statement of Changes in Beneficial Ownership (4)	2021-01-13 11:30:36
CRM	218.1743	2.6543	1.23	7 Great Speculations for 2021	2021-01-13 11:30:31
MSI	173.84	-0.4	-0.23	Peel Regional Police Selects Motorola Solutions' Integrated Software and Video Solutions to Help Keep Communities Safe	2021-01-13 11:30:00
LKFN	58.96	-0.63	-1.06	Statement of Changes in Beneficial Ownership (4)	2021-01-13 11:28:55
GCTAF	43.825	0.725	1.68	Siemens Gamesa and Siemens Energy Join Forces to Mass Produce Renewable Hydrogen	2021-01-13 11:28:52
PMM	8.09	0.02	0.25	Amendment to Annual Report for Registered Investment Companies (n-cen/a)	2021-01-13 11:28:50
PIM	4.17	0	0	Amendment to Annual Report for Registered Investment Companies (n-cen/a)	2021-01-13 11:27:13
RY	85.26	-0.05	-0.06	Free Writing Prospectus - Filing Under Securities Act Rules 163/433 (fwp)	2021-01-13 11:26:13
VXX	16.5486	-0.2014	-1.2	Free Writing Prospectus - Filing Under Securities Act Rules 163/433 (fwp)	2021-01-13 11:25:13
LKFN	58.96	-0.63	-1.06	Statement of Changes in Beneficial Ownership (4)	2021-01-13 11:25:07
UTG	32.812	0.202	0.62	Annual Report for Registered Investment Companies (n-cen)	2021-01-13 11:24:41
TMP	75.53	-1.99	-2.57	Statement of Changes in Beneficial Ownership (4)	2021-01-13 11:23:41
KALY	0.001	-1e-04	-9.09	PAOG Dividend Update Included In 2021 Cannabis Biopharmaceutical Strategic Update Tomorrow	2021-01-13 11:22:32
PAOG	0.0032	-1e-04	-1.54	PAOG Dividend Update Included In 2021 Cannabis Biopharmaceutical Strategic Update Tomorrow	2021-01-13 11:22:32
PURA	0.013	0.0012	9.75	PAOG Dividend Update Included In 2021 Cannabis Biopharmaceutical Strategic Update Tomorrow	2021-01-13 11:22:32
VSEC	41.17	-0.78	-1.86	Statement of Changes in Beneficial Ownership (4)	2021-01-13 11:22:20
PE	0	0	0	Notification Filed by National Security Exchange to Report the Removal From Listing and Registration of Matured, Redeemed or ...	2021-01-13 11:20:45
LKFN	58.96	-0.63	-1.06	Statement of Changes in Beneficial Ownership (4)	2021-01-13 11:20:44
NGG	59.485	0.855	1.46	Report of Foreign Issuer Pursuant to Rule 13a-16 or 15d-16 (6-k)	2021-01-13 11:20:04
NGGTF	12.085	0.335	2.85	Report of Foreign Issuer Pursuant to Rule 13a-16 or 15d-16 (6-k)	2021-01-13 11:20:04
VVPR	10.8311	-0.2589	-2.33	VivoPower International PLC Recognized with Real Leaders Top Impact Companies Award	2021-01-13 11:16:00
GLO	11.9251	0.0051	0.04	Annual Report for Registered Investment Companies (n-cen)	2021-01-13 11:14:08
MDXG	9.35	0.32	3.54	Statement of Beneficial Ownership (sc 13d)	2021-01-13 11:14:03
MDXG	9.35	0.32	3.54	Statement of Beneficial Ownership (sc 13d)	2021-01-13 11:14:03
LMNX	26.7699	0.9699	3.76	Luminex Corporation to Present at 39th Annual J.P. Morgan Healthcare Conference	2021-01-13 11:14:00
GLQ	14.745	0.16	1.1	Annual Report for Registered Investment Companies (n-cen)	2021-01-13 11:13:28
VXX	16.5486	-0.2014	-1.2	Free Writing Prospectus - Filing Under Securities Act Rules 163/433 (fwp)	2021-01-13 11:13:03
GLV	11.008	0.158	1.46	Annual Report for Registered Investment Companies (n-cen)	2021-01-13 11:12:22
DUK	91.62	2.69	3.02	Duke Energy, Firestone Walker Brewing complete one of the largest on-site solar arrays in craft beer industry	2021-01-13 11:11:00
FCAU	17.86	-0.02	-0.11	Report of Foreign Issuer Pursuant to Rule 13a-16 or 15d-16 (6-k)	2021-01-13 11:10:51
RMCF	4.15	0.03	0.73	Current Report Filing (8-k)	2021-01-13 11:10:43
CUEN	3	0.16	5.63	Securities Registration Statement (s-1/a)	2021-01-13 11:05:39
III	3.93	0.07	1.81	U.S. Enterprises Seek More Dynamic Applications, Driving Advances in Next-gen ADM Services	2021-01-13 11:02:00
BTCUSD	34669.48	606.71	1.78	Compute North, Foundry Team Up to Target North American Bitcoin Miners	2021-01-13 11:00:25
BTCUSD	34669.48	606.71	1.78	Bitcoin Finds Local Bottom as Analysts Point to Signs of Strength; What’s Next	2021-01-13 11:00:01
ORCL	62.285	-0.135	-0.22	Oracle Cloud Infrastructure Delivers New Low-code Service to Simplify Application Development	2021-01-13 11:00:00
GOGL	5.22	-0.17	-3.15	GOGL – Declaration of options	2021-01-13 11:00:00
VSH	22.6	-0.2	-0.88	New Vishay Intertechnology Through-Hole Inductor Packs a 420 A Saturation Current Into Compact 1500 Case Size	2021-01-13 11:00:00
UDIV.B	10.37	0	0	Manulife Virtually Opens The Market	2021-01-13 11:00:00
KEYS	146.55	-0.27	-0.18	Keysight Expands Portfolio of Source/Measure Units for Test Applications Requiring High Accuracy, High Resolution & Measureme...	2021-01-13 11:00:00
KO	50.16	0.05	0.1	The Coca-Cola Company Announces Timing of Fourth Quarter and Full Year 2020 Earnings Release	2021-01-13 11:00:00
UDIV	10.89	0.19	1.78	Manulife Virtually Opens The Market	2021-01-13 11:00:00
ORCL	62.285	-0.135	-0.22	Oracle Extends Database Leadership with Oracle Database 21c	2021-01-13 11:00:00
CDIV	0	0	0	Manulife Virtually Opens The Market	2021-01-13 11:00:00
FE	30.825	0.335	1.1	FirstEnergy Transmission Project Completed in Altoona	2021-01-13 10:59:00
FSFG	63.44	-0.07	-0.11	Proxy Statement (definitive) (def 14a)	2021-01-13 10:58:07
QCOM	155.95	1.5	0.97	Qualcomm To Snap Up Chip Startup Nuvia For $1.4B	2021-01-13 10:57:50
BTCUSD	34669.48	606.71	1.78	DeFi Protocol Aave to Offer More Rewards for Risky Stakers	2021-01-13 10:57:11
CCF	115.415	-0.875	-0.75	Statement of Changes in Beneficial Ownership (4)	2021-01-13 10:57:00
EFSC	36.74	-0.83	-2.21	Annual Statement of Changes in Beneficial Ownership (5)	2021-01-13 10:56:05
CCF	115.415	-0.875	-0.75	Statement of Changes in Beneficial Ownership (4)	2021-01-13 10:55:15
EFSC	36.74	-0.83	-2.21	Annual Statement of Changes in Beneficial Ownership (5)	2021-01-13 10:54:04
OIIM	9.1	-0.3	-3.19	Report of Foreign Issuer Pursuant to Rule 13a-16 or 15d-16 (6-k)	2021-01-13 10:53:49
BTCUSD	34669.48	606.71	1.78	BitMex turns to Chainalysis to solve legal woes, or at least soften the CFTC's blow	2021-01-13 10:53:12
MKGI	2.4338	-0.1162	-4.56	Monaker Group Announces Exercise and Closing of Underwriters’ Over-Allotment	2021-01-13 10:52:43
EFSC	36.74	-0.83	-2.21	Annual Statement of Changes in Beneficial Ownership (5)	2021-01-13 10:52:33
ZCMD	1.88	0.01	0.53	Report of Foreign Issuer Pursuant to Rule 13a-16 or 15d-16 (6-k)	2021-01-13 10:50:53
EFSC	36.74	-0.83	-2.21	Annual Statement of Changes in Beneficial Ownership (5)	2021-01-13 10:50:43
HAIN	40.29	-0.15	-0.37	Alba Botanica® Partners With Surfing Powerhouse And Olympic Medal Contender Caroline Marks	2021-01-13 10:50:00
CM	89.23	0.16	0.18	Free Writing Prospectus - Filing Under Securities Act Rules 163/433 (fwp)	2021-01-13 10:49:58
EFSC	36.74	-0.83	-2.21	Annual Statement of Changes in Beneficial Ownership (5)	2021-01-13 10:49:15
VVPR	10.8311	-0.2589	-2.33	VivoPower International PLC Recognized with Real Leaders Top Impact Companies Award	2021-01-13 10:48:47
BTCUSD	34669.48	606.71	1.78	Transaction Fees Have Skyrocketed: Here’s How to Save Money	2021-01-13 10:48:38
VXX	16.5486	-0.2014	-1.2	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 10:48:06
TREE	307.555	-5.755	-1.84	Almost 39% of Americans Say They Reduced or Eliminated Insurance Coverage in 2020 According to ValuePenguin.com Survey	2021-01-13 10:48:00
CM	89.23	0.16	0.18	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 10:47:52
ISIG	8.24	0.02	0.24	Current Report Filing (8-k)	2021-01-13 10:47:33
EFSC	36.74	-0.83	-2.21	Annual Statement of Changes in Beneficial Ownership (5)	2021-01-13 10:47:33
CASY	183.97	-1.59	-0.86	Casey’s Shares Fall on 3Q Business Update	2021-01-13 10:45:59
ADM	51.15	-0.25	-0.49	ADM Wins 2021 BIG Innovation Award for Unique Probiotic Strain	2021-01-13 10:44:00
DLR	133.35	1.84	1.4	Digital Realty Appoints Don Freese As Chief Information Security Officer	2021-01-13 10:42:00
DHR	240.03	-0.66	-0.27	Danaher Lifts 4Q Sales Growth Outlook; Street Stays Bullish	2021-01-13 10:41:44
NVOS	0.4199	0.0199	4.98	Quarterly Report (10-q)	2021-01-13 10:41:28
IPOC	16.02	0	0	Securities Registration Statement (s-1)	2021-01-13 10:40:59
CLOV	14.09	-0.53	-3.63	Securities Registration Statement (s-1)	2021-01-13 10:40:59
PETS	34.18	0.18	0.53	Current Report Filing (8-k)	2021-01-13 10:40:25
FE	30.825	0.335	1.1	Energy Bill Assistance Available for Mon Power and Potomac Edison Customers in West Virginia Through WV Department of Health ...	2021-01-13 10:40:00
GLSSP	0	0	0	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 10:39:21
